SchoolName,URL
Elfed High School,https://www.elfedhs.co.uk/
Ely And Caerau Children's Centre,https://elyandcaerauchildrenscentre.co.uk/
Evenlode Primary School,https://www.evenlodeschoolpenarth.co.uk/
Eveswell Primary School,http://eveswellandsomertonschoolspartnership.co.uk/
Ewloe Green,https://www.ewloegreen.co.uk/
Eyton Primary School,https://eytonprimary.co.uk/
Fairfield Primary School,http://www.fairfieldpenarth.co.uk/
Fairwater Primary School,https://fairwaterprm.cardiff.sch.uk/
Fenton Community Primary School,https://www.fentonprimary.co.uk/
Ferndale Community School,https://www.ferndalecs.com/
Ferryside V.C.P. School,http://www.ferryside.amdro.org.uk/
Ffaldau,http://www.ffaldauprimary.com/
Ffynnon Taf Primary School,https://www.ffynnontafprimary.co.uk/
Fitzalan High School, http://www.fitzalan.cardiff.sch.uk
Fleur-De-Lys Primary,https://sites.google.com/fleurdelisprimary.net/website/fleur-de-lys-primary
Flint High School,https://www.flinthighschool.wales/
Fochriw Primary,https://www.fochriwprimary.co.uk/
Forden C.I.W. School,http://www.forden.powys.sch.uk/
Franksbridge C.P. School,http://www.franksbridge.powys.sch.uk/
Froncysyllte,https://sites.google.com/hwbcymru.net/thedeevalleyfederation/our-schools/ysgol-froncysyllte
Frongoch Juniors,https://www.ysgolfrongoch.com/
Gabalfa Primary,https://www.gabalfaprm.co.uk/
Gaer Primary School,https://www.gaerprimary.co.uk/
Garnteg Primary,https://www.garntegprimary.co.uk/
Garth Primary School,https://www.garthprimary.co.uk/
Gelli Aur/Golden Grove,https://ysgol-gelli-aurgolden-grove.j2bloggy.com/
Gelli Primary School,https://gelliprimaryschool.org.uk/
Gellifaelog Primary School,https://sites.google.com/gellifaelog.merthyr.sch.uk/gellifaelog-primary-school/home-page
Gelliswick Church in Wales Voluntary Controlled Primary School,https://www.gelliswickschool.co.uk/
Gendros Primary School,https://www.gendrosprimary.com/
George Street Primary School,https://www.georgestreetprimary.co.uk/
Georgetown Junior And Infants,https://www.georgetownprimary.co.uk/
Gilfach Fargoed Primary,https://gilfach-fargoed-primary-school.j2bloggy.com/
Gilwern Primary School,https://www.gilwernprimaryschool.org/
Gladestry C.I.W. School,http://www.gladestry.powys.sch.uk/
Gladstone Primary School,https://www.gladstoneprimaryschool.co.uk/
Glais Primary School,https://www.glais.swansea.sch.uk/
Glan Llyn Primary School,http://www.glan-hafren.ac.uk/
Glan Usk Primary,http://glanuskprimary.co.uk/
Glan Yr Afon Primary School,https://www.glanyrafonprimary.com/
Glan-y-Mor School,https://glanymorschool.co.uk/
Glanhowy Primary School,https://www.glanhowy.co.uk/
Glasllwch Primary School,https://www.glasllwch.org.uk/
Glenboi Community Primary School,https://www.glenboiprimary.co.uk/
Glyn-Gaer Primary School,https://glyn-gaer-cp-school.j2bloggy.com/
Glyncoed Primary,https://www.glyncoedprimary.co.uk/
Glyncollen Primary School,http://www.glyncollen.swansea.sch.uk/
Glyncorrwg Primary School,http://glyncorrwg-primary-school.j2bloggy.com/
Gnoll Primary School,http://gnoll-primary-school.j2bloggy.com/
Godre'rgraig Primary School,https://godrergraig-primary-school.j2bloggy.com/
Goetre Primary School,https://sites.google.com/a/goetre.merthyr.sch.uk/goetre/home/
Golftyn Cp School,http://golftyncp.wales/
Gors Community School,https://www.gorscommunityprimary.co.uk/
Gorseinon Primary School,https://www.gorseinonprimary.co.uk/
Gowerton Comprehensive School,https://gowerton-primary-school1.j2bloggy.com/
Gowerton Primary School,https://gowerton-primary-school1.j2bloggy.com/
Goytre Fawr Primary,https://www.goytrefawrprimary.co.uk/
Graig-Y-Rhacca Primary And Nursery Community,https://www.gyrschool.co.uk/
Grange Primary School,https://www.grange.swansea.sch.uk/
Grangetown Primary School,https://www.grangetownprimary.com/
Grango,https://www.grango.co.uk/
Greenfield School,http://www.greenfield.merthyr.sch.uk
Greenhill Primary,https://www.greenhillprm.co.uk/
Greenmeadow Primary,https://www.greenmeadowprimaryschoolcwmbran.co.uk/
Greenway Primary School,https://www.greenwayprimary.com/
Griffithstown Primary School,http://www.griffithstown-primary.co.uk/
Gronant Primary School,https://www.ysgolgronant.co.uk/
Guilsfield C.P. School,https://www.guilsfield.powys.sch.uk/
Gwauncelyn Primary School,https://www.gwauncelynprimary.cymru/
Gwaunfarren Primary,https://sites.google.com/gwaunfarren.merthyr.sch.uk/gwaunfarrenprimaryschool/home
Gwaunmeisgyn Primary School,https://www.gwaun.org/
Gwenfo C/W Primary School,https://gwenfocwprimary.co.uk/
Gwenfro Community Primary,https://gwenfro-pri.wrexham.sch.uk/
Gwernyfed High School,https://www.gwernyfed-hs.powys.sch.uk/
Gwernymynydd Cp School,https://www.ysgolgwernymynyddcp.com/
Gwersyllt Community Primary School,https://gwersylltcp.home.blog/
Gwyrosydd Primary School,https://www.gwyrosyddprimaryschool.co.uk/
Gyfun Aberaeron Comprehensive,https://ygaberaeron.org.uk/
Hafod Primary School,https://www.hafodprimary.co.uk/
Hafod Y Wern Community Primary School,https://www.hafodywern.co.uk/
Halfway C.P. School,http://halfwayschool.org/
Haverfordwest High VC School,https://www.haverfordwesthigh.pembrokeshire.sch.uk/
Hawarden High School,https://www.hawardenhigh.org.uk/
Hawthorn High School,https://hawthornhighschool.co.uk/
Hawthorn Primary School,http://www.hawthornprimary.co.uk/
Hawthorn Primary,https://www.hawthornpri.co.uk/
Hay-on-Wye C.P. School,http://www.hay.powys.sch.uk/
Hendre Infants School,http://hendre-infants-school.j2bloggy.com/
Hendre Junior School,https://www.hendrejuniorschool.co.uk/
Hendredenny Park Primary,https://sites.google.com/hwbcymru.net/hendredennyparkprimary/
Hendrefoilan Primary,https://hendrefoilan-primary-school1.j2bloggy.com/
Hendy C.P. School,https://www.ysgolyrhendy.org.uk/
Hengoed Primary,http://www.hengoedprimary.com
Henry Tudor School,https://www.yht.wales/
Heol Y Celyn Bilingual Primary,https://www.heol-y-celyn.co.uk/
Heolddu Comprehensive School,https://heoldducomprehensive.org.uk/
Heolgerrig Community School,https://sites.google.com/a/heolgerrig.merthyr.sch.uk/heolgerrig-community-primary-school/home
Herbert Thompson Primary,https://www.herbertthompsonprimary.co.uk/
Heronsbridge Special School,https://heronsbridge.co.uk/
High Cross Primary School,https://www.highcrossprimary.co.uk/
High Street Primary School,https://www.highstreetprimary.co.uk/
Hirwaun Primary School,https://www.hirwaunprimarysch.co.uk/
Holt C.P. School,http://www.holtcpschool.com
Holton Primary School,https://www.holtonprimary.com/
Holy Family R.C. Primary,https://www.holyfamilyprm.co.uk/
Holy Name Rc School,https://www.christtheword.co.uk/
Hook Cp School,https://sites.google.com/hwbcymru.net/hookschool
Howardian Primary School,https://www.howardianprimaryschool.co.uk/
Hywel Dda Primary School,https://www.hywelddaprimary.co.uk/
Idris Davies School 3 to 18,https://sites.google.com/idrisdaviesschool.wales/ids
Irfon Valley C.P. School,https://irfon-valley-cp-school.j2bloggy.com/
Jenner Park Primary School,https://www.jennerparkprimary.co.uk/
Johnstown Primary School,http://www.johnstown.amdro.org.uk/
Jubilee Park Primary School,https://www.jubileeparkprimary.co.uk/
Kitchener Primary School,https://www.kitchenerprimaryschool.com/
Knighton C.I.W. School,http://www.knighton.powys.sch.uk/
Kymin View Primary School,https://www.kyminviewprimary.org.uk/
Lakeside Primary School,https://www.lakesideprimaryschool.co.uk/
Lamphey Primary School,https://www.lampheyschool.co.uk/
Langstone Primary School,https://www.langstoneprimary.co.uk/
Laugharne V.C.P. School,http://www.laugharne.amdro.org.uk/
Leighton C.P. School,http://www.leighton.powys.sch.uk/
Lewis Girls' Comprehensive School,https://www.lgs.wales/
Lewis School Pengam,https://lsp.wales/
Litchard Primary,https://www.litchardprimary.com/
Llanbister C.P. School,https://www.llanbisterschool.com/
Llancaeach Junior School,https://www.llancaeachjuniorschool.co.uk/
Llandaff City Primary School,https://www.lccw.org.uk/
Llandinam C.P. School,http://ysgolllandinamschool.co.uk
Llandogo Primary,https://www.llandogo.monmouthshire.sch.uk/
Llandough County Primary,https://www.llandoughprimary.com/
Llandybie C.P. School,http://www.llandybie.amdro.org.uk/
Llandysilio C.I.W. School,https://llandysiliocinwschool.weebly.com/
Llanedeyrn Primary School,https://www.llanedeyrnprimary.co.uk/
Llanelwedd Church In Wales Primary School,https://www.llanelwedd.powys.sch.uk/
Llanfaes C.P. School,http://www.llanfaes.powys.sch.uk/
Llanfair Primary School,http://www.llanfairps.com/
Llanfechain C.I.W. School,http://www.llanfechainschool.org.uk/
Llanfoist Fawr Primary,https://www.llanfoist.monmouthshire.sch.uk/
Llangadog C.P. School,https://ysgol-llangadog.weebly.com/
Llangan Primary School,http://www.llanganprimaryschool.co.uk
Llangattock C.I.W. School,http://www.llangattock.powys.sch.uk/
Llangatwg Community School,https://www.llangatwgcommunityschool.org.uk/
Llangedwyn C In W Primary School,https://www.llangedwyn.school/
Llangewydd Junior School,http://www.llangewydd.co.uk
Llangiwg Primary School,https://llangiwg-primary-school.j2bloggy.com/
Llangors C.I.W. School,https://llangorseschool.wales/
Llangunnor C.P. School,http://www.llangunnor.amdro.org.uk/
Llangyfelach Primary School,https://www.llangyfelachprimaryschool.co.uk/
Llangynidr C.P. School,http://www.llangynidr.powys.sch.uk/
Llangynwyd Primary School,http://www.llangynwydprimary.co.uk
Llanharan Primary School,http://www.llanharanprimary.com/
Llanhari Primary,http://www.llanhariprimary.com/
Llanidloes C.P. School,https://llanidloes.powys.sch.uk/
Llanidloes High School,https://llanidloeshighschool.co.uk/
Llanilltud Faerdref Primary,https://www.llanilltudprimaryschool.co.uk/
Llanishen Fach Primary School,https://www.llanishenfach.co.uk/
Llanmartin Junior & Infants,https://www.llanmartinprimary.co.uk/
Llanmiloe C.P. School,http://www.llanmiloe.amdro.org.uk/
Llanpumsaint School,http://www.llanpumsaint.amdro.org.uk/
Llanrhaeadr Ym Mochnant C.P. School,http://ysgolllanrhaeadr.weebly.com/
Llanrhidian Primary,https://www.llanrhidian.swansea.sch.uk/
Llansannor C/W Primary School,https://www.llansannorprimary.co.uk/
Llansantffraid C In W School,http://llansantffraidprimaryschool.weebly.com/
Llantarnam Community Primary School,https://www.llantarnamcommunityprimary.co.uk/
Llantilio Pertholey Cv Primary,https://www.llantiliopertholeycv.monmouthshire.sch.uk/
Llantrisant Primary School,http://www.llantrisantprimary.co.uk/
Llantwit Major School,http://www.llantwitschool.org.uk/
Llanvihangel Crucorney County Primary School,https://www.llanvihangel.wales/
Llanwern High School,https://www.llanwernhighschool.co.uk/
Llanybydder C.P. School,http://www.llanybydder.amdro.org.uk/
Llanyrafon Primary School,https://www.llanyrafonprimary.co.uk/
Llechyfedach C.P. School,http://llechyfedach.amdro.org.uk/
Lliswerry High School,http://lliswerryhigh.org/
Lliswerry Primary School,https://www.lliswerryprimary.co.uk/
Llwyn-Crwn Primary School,https://www.llwyncrwnprimary.co.uk/
Llwynypia Primary School,http://llwynypiaprimary.co.uk/
Llysfaen Primary School,https://www.llysfaenprimaryschool.co.uk/
Machen Primary School,http://ysgolmachen.school/
Maenclochog Cp School,http://ysgolmaenclochog.co.uk/
Maendy Junior And Infants,https://sites.google.com/hwbcymru.net/maendy-primary-school/home
Maerdy Primary School,https://www.maerdyprimarysch.co.uk/
Maes Ebbw School,https://www.maesebbw.com/
Maes Y Morfa Community Primary School,https://www.ysgolmaesymorfa.com/
